ADM2CD_c,NAM_2,poverty_rural,cum_pop_share,cum_benefit_share
AGO002007,Chongoroi,0.765,0.03959479214128283,0.0
AGO002008,Cubal,0.74,0.17684711463321234,0.4790555318646029
AGO002002,Balombo,0.6940000000000001,0.22555987699252714,0.4790555318646029
AGO002004,Bocoio,0.652,0.30076315536355014,0.4790555318646029
AGO002010,Lobito,0.648,0.4518256811551996,0.5087634384449304
AGO002009,Ganda,0.636,0.5616525870534052,0.5863736263791797
AGO002005,Caimbambo,0.596,0.6009538380920806,0.600765395974184
AGO002001,Baia Farta,0.442,0.6457949576227014,0.600765395974184
AGO002006,Catumbela,0.353,0.7497977386110386,0.8454453294882909
AGO002003,Benguela,0.349,0.9999999999999999,1.0
