site_index,lon,lat,thresh_min,area_km2,pop,cropland_km2,rwi_mean,rwi_pop_weighted,mean_travel_min
1,13.502981,-12.430235,30,461.32532859184533,1315503.75,76.03540649553534,0.39277803897857666,0.7743657827377319,18.95269012451172
1,13.502981,-12.430235,60,1617.4341842611236,1643761.5,146.65650201897233,0.0785713791847229,0.6625508666038513,38.911373138427734
1,13.502981,-12.430235,120,6959.789692219553,1878976.5,1048.8067403309606,-0.2918799817562103,0.562554121017456,82.08094787597656
1,13.502981,-12.430235,240,29453.536989265172,2895607.0,7288.362281827014,-0.4367780089378357,0.2905297875404358,159.177734375
2,13.92658333,-11.99188889,30,335.01050292723016,16329.6904296875,45.96211834387504,-0.4637486934661865,-0.21060100197792053,19.446008682250977
2,13.92658333,-11.99188889,60,1561.2585533480578,40200.38671875,165.04139979662267,-0.4832633435726166,-0.2872163653373718,40.51968765258789
2,13.92658333,-11.99188889,120,5341.651620153712,1731844.375,1223.7334547749088,-0.34583815932273865,0.5892091989517212,77.4573974609375
2,13.92658333,-11.99188889,240,20345.275159811514,2318866.0,4424.980595014853,-0.4014630913734436,0.409266859292984,157.51339721679688
3,13.92658333,-11.98361111,30,315.65360739257335,16150.111328125,44.005256886189784,-0.4633826017379761,-0.2106766700744629,19.770854949951172
3,13.92658333,-11.98361111,60,1506.5826536039904,38185.51171875,151.62462314906367,-0.48421603441238403,-0.28465235233306885,40.83229446411133
3,13.92658333,-11.98361111,120,5198.801904888622,1691232.5,1172.1646211258922,-0.3447573781013489,0.6077117323875427,77.72053527832031
3,13.92658333,-11.98361111,240,20059.179157415856,2308505.5,4363.8355351363025,-0.40083879232406616,0.41260266304016113,158.01434326171875
4,13.93563889,-11.97777778,30,178.4643023596027,14024.1474609375,31.056085558955587,-0.4493217468261719,-0.18169985711574554,22.415138244628906
4,13.93563889,-11.97777778,60,1103.5814011627758,30026.42578125,97.72082775161721,-0.4974793791770935,-0.2876850962638855,43.17109298706055
4,13.93563889,-11.97777778,120,4370.049092508319,1184787.25,882.8270868069701,-0.3586569130420685,0.590213418006897,80.15957641601562
4,13.93563889,-11.97777778,240,18285.967313913607,2263626.5,4003.5415834624864,-0.3945464789867401,0.42760714888572693,161.09207153320312
5,13.96986111,-11.97677778,30,440.2831883370501,18861.99609375,58.05785042413824,-0.4787750840187073,-0.2441243678331375,19.38093376159668
5,13.96986111,-11.97677778,60,1621.0543485252056,41094.94140625,176.9111541769076,-0.48947808146476746,-0.29302680492401123,38.9764404296875
5,13.96986111,-11.97677778,120,5380.364256590647,1734406.875,1234.377152264374,-0.34623706340789795,0.5880246162414551,76.63948822021484
5,13.96986111,-11.97677778,240,20377.179319458905,2319552.75,4433.026666551782,-0.40149980783462524,0.4090583622455597,157.11834716796875
6,13.96986111,-11.97169444,30,447.02517937662043,18959.25,57.5812895608761,-0.4807693362236023,-0.24530154466629028,19.474123001098633
6,13.96986111,-11.97169444,60,1596.66780297471,39850.8359375,169.97162221360247,-0.49174898862838745,-0.29205912351608276,38.831939697265625
6,13.96986111,-11.97169444,120,5315.659961806894,1717922.0,1210.5836226333417,-0.3455955982208252,0.5955468416213989,76.67831420898438
6,13.96986111,-11.97169444,240,20228.650190406952,2315650.5,4402.057698295914,-0.4012141227722168,0.4102236032485962,157.2867889404297
7,13.97575,-11.94577778,30,295.5084875669696,16180.1630859375,43.225686581832015,-0.44749632477760315,-0.2100026160478592,21.773977279663086
7,13.97575,-11.94577778,60,1265.1723069739207,32921.8828125,122.53655557423144,-0.49790841341018677,-0.30281826853752136,40.79448318481445
7,13.97575,-11.94577778,120,4664.262644389203,1414900.0,989.0485018107688,-0.3512847125530243,0.6448621153831482,78.41844940185547
7,13.97575,-11.94577778,240,18957.364022693677,2280856.5,4138.054052856673,-0.3968217372894287,0.42168062925338745,159.6579132080078
8,13.95425,-12.04463889,30,478.88852659794446,18573.818359375,58.658185984569855,-0.45608484745025635,-0.22395433485507965,18.92897605895996
8,13.95425,-12.04463889,60,2013.7260508793202,57246.390625,284.41038498694786,-0.4693029522895813,-0.277952641248703,39.83095169067383
8,13.95425,-12.04463889,120,6263.506761012442,1798898.5,1542.7085585880072,-0.36038100719451904,0.5571618676185608,75.73078918457031
